,Input dims,Input size,"Sparsities (input, matA, matB)",Total elements,Input memory,Total Memory,GPU clock time (IQR)
0,3,"[(70, 70), (70, 70), (70, 70)]",0 ; 0 ; 0,14700,0.0294,2.097152,1.5804830472916364e-05(0.0)
1,3,"[(178, 178), (178, 178), (178, 178)]",0 ; 0 ; 0,95052,0.190104,2.097152,2.5536359753459692e-05(0.0)
2,3,"[(242, 242), (242, 242), (242, 242)]",0 ; 0 ; 0,175692,0.351384,2.097152,2.5929990224540235e-05(0.0)
3,3,"[(292, 292), (292, 292), (292, 292)]",0 ; 0 ; 0,255792,0.511584,2.097152,2.5235679931938648e-05(0.0)
4,3,"[(335, 335), (335, 335), (335, 335)]",0 ; 0 ; 0,336675,0.67335,2.097152,3.277876880019903e-05(0.0)
5,3,"[(373, 373), (373, 373), (373, 373)]",0 ; 0 ; 0,417387,0.834774,2.097152,3.12286289408803e-05(0.0)
6,3,"[(407, 407), (407, 407), (407, 407)]",0 ; 0 ; 0,496947,0.993894,2.097152,3.1167110428214073e-05(0.0)
7,3,"[(439, 439), (439, 439), (439, 439)]",0 ; 0 ; 0,578163,1.156326,2.097152,3.125808900222182e-05(0.0)
8,3,"[(469, 469), (469, 469), (469, 469)]",0 ; 0 ; 0,659883,1.319766,2.097152,3.171274904161692e-05(0.0)
9,3,"[(496, 496), (496, 496), (496, 496)]",0 ; 0 ; 0,738048,1.476096,2.097152,2.4875400122255087e-05(0.0)
10,3,"[(523, 523), (523, 523), (523, 523)]",0 ; 0 ; 0,820587,1.641174,4.194304,3.9894338697195054e-05(0.0)
11,3,"[(548, 548), (548, 548), (548, 548)]",0 ; 0 ; 0,900912,1.801824,4.194304,3.402733942493796e-05(0.0)
12,3,"[(572, 572), (572, 572), (572, 572)]",0 ; 0 ; 0,981552,1.963104,4.194304,3.53316986002028e-05(0.0)
13,3,"[(595, 595), (595, 595), (595, 595)]",0 ; 0 ; 0,1062075,2.12415,4.194304,4.674161085858941e-05(0.0)
14,3,"[(617, 617), (617, 617), (617, 617)]",0 ; 0 ; 0,1142067,2.284134,4.194304,5.0274899695068595e-05(0.0)
15,3,"[(638, 638), (638, 638), (638, 638)]",0 ; 0 ; 0,1221132,2.442264,4.194304,3.6901070270687345e-05(0.0)
16,3,"[(659, 659), (659, 659), (659, 659)]",0 ; 0 ; 0,1302843,2.605686,4.194304,5.69110712967813e-05(0.0)
17,3,"[(679, 679), (679, 679), (679, 679)]",0 ; 0 ; 0,1383123,2.766246,4.194304,5.685244919732213e-05(0.0)
18,3,"[(699, 699), (699, 699), (699, 699)]",0 ; 0 ; 0,1465803,2.931606,4.194304,5.353576969355345e-05(0.0)
19,3,"[(718, 718), (718, 718), (718, 718)]",0 ; 0 ; 0,1546572,3.093144,4.194304,3.57958790846169e-05(0.0)
20,3,"[(736, 736), (736, 736), (736, 736)]",0 ; 0 ; 0,1625088,3.250176,20.97152,2.775234868749976e-05(0.0)
21,3,"[(754, 754), (754, 754), (754, 754)]",0 ; 0 ; 0,1705548,3.411096,20.97152,4.027866991236806e-05(0.0)
22,3,"[(772, 772), (772, 772), (772, 772)]",0 ; 0 ; 0,1787952,3.575904,20.97152,4.0299410466104745e-05(0.0)
23,3,"[(789, 789), (789, 789), (789, 789)]",0 ; 0 ; 0,1867563,3.735126,20.97152,6.775490008294583e-05(0.0)
24,3,"[(806, 806), (806, 806), (806, 806)]",0 ; 0 ; 0,1948908,3.897816,20.97152,4.197248024865985e-05(0.0)
25,3,"[(822, 822), (822, 822), (822, 822)]",0 ; 0 ; 0,2027052,4.054104,20.97152,4.307565977796912e-05(0.0)
26,3,"[(839, 839), (839, 839), (839, 839)]",0 ; 0 ; 0,2111763,4.223526,20.97152,8.102202089503407e-05(0.0)
27,3,"[(854, 854), (854, 854), (854, 854)]",0 ; 0 ; 0,2187948,4.375896,20.97152,4.750395193696022e-05(0.0)
28,3,"[(870, 870), (870, 870), (870, 870)]",0 ; 0 ; 0,2270700,4.5414,20.97152,4.8781679943203926e-05(0.0)
29,3,"[(885, 885), (885, 885), (885, 885)]",0 ; 0 ; 0,2349675,4.69935,20.97152,8.09529796242714e-05(0.0)
30,3,"[(900, 900), (900, 900), (900, 900)]",0 ; 0 ; 0,2430000,4.86,20.97152,5.459288135170937e-05(0.0)
31,3,"[(915, 915), (915, 915), (915, 915)]",0 ; 0 ; 0,2511675,5.02335,20.97152,8.688803063705564e-05(0.0)
32,3,"[(930, 930), (930, 930), (930, 930)]",0 ; 0 ; 0,2594700,5.1894,20.97152,5.72098302654922e-05(0.0)
33,3,"[(944, 944), (944, 944), (944, 944)]",0 ; 0 ; 0,2673408,5.346816,20.97152,3.218283876776695e-05(0.0)
34,3,"[(958, 958), (958, 958), (958, 958)]",0 ; 0 ; 0,2753292,5.506584,20.97152,5.73899713344872e-05(0.0)
35,3,"[(972, 972), (972, 972), (972, 972)]",0 ; 0 ; 0,2834352,5.668704,20.97152,5.9830788522958755e-05(0.0)
36,3,"[(986, 986), (986, 986), (986, 986)]",0 ; 0 ; 0,2916588,5.833176,20.97152,5.904109915718436e-05(0.0)
37,3,"[(999, 999), (999, 999), (999, 999)]",0 ; 0 ; 0,2994003,5.988006,20.97152,9.040798991918564e-05(0.0)
38,3,"[(1013, 1013), (1013, 1013), (1013, 1013)]",0 ; 0 ; 0,3078507,6.157014,20.97152,8.623359957709908e-05(0.0)
39,3,"[(1026, 1026), (1026, 1026), (1026, 1026)]",0 ; 0 ; 0,3158028,6.316056,20.97152,5.5621019564568995e-05(0.0)
40,3,"[(1039, 1039), (1039, 1039), (1039, 1039)]",0 ; 0 ; 0,3238563,6.477126,20.97152,9.200823027640582e-05(0.0)
41,3,"[(1052, 1052), (1052, 1052), (1052, 1052)]",0 ; 0 ; 0,3320112,6.640224,20.97152,6.145688006654381e-05(0.0)
42,3,"[(1064, 1064), (1064, 1064), (1064, 1064)]",0 ; 0 ; 0,3396288,6.792576,20.97152,4.646889166906476e-05(0.0)
43,3,"[(1077, 1077), (1077, 1077), (1077, 1077)]",0 ; 0 ; 0,3479787,6.959574,20.97152,9.899945929646492e-05(0.0)
44,3,"[(1089, 1089), (1089, 1089), (1089, 1089)]",0 ; 0 ; 0,3557763,7.115526,20.97152,0.00010068655014038086(0.0)
45,3,"[(1102, 1102), (1102, 1102), (1102, 1102)]",0 ; 0 ; 0,3643212,7.286424,20.97152,6.515327142551541e-05(0.0)
46,3,"[(1114, 1114), (1114, 1114), (1114, 1114)]",0 ; 0 ; 0,3722988,7.445976,20.97152,6.47876807488501e-05(0.0)
47,3,"[(1126, 1126), (1126, 1126), (1126, 1126)]",0 ; 0 ; 0,3803628,7.607256,20.97152,6.470352178439498e-05(0.0)
48,3,"[(1138, 1138), (1138, 1138), (1138, 1138)]",0 ; 0 ; 0,3885132,7.770264,20.97152,6.35944213718176e-05(0.0)
49,3,"[(1149, 1149), (1149, 1149), (1149, 1149)]",0 ; 0 ; 0,3960603,7.921206,20.97152,9.952075080946088e-05(0.0)
50,3,"[(1161, 1161), (1161, 1161), (1161, 1161)]",0 ; 0 ; 0,4043763,8.087526,20.97152,0.0001022164593450725(0.0)
51,3,"[(1173, 1173), (1173, 1173), (1173, 1173)]",0 ; 0 ; 0,4127787,8.255574,20.97152,0.00010200795019045472(0.0)
52,3,"[(1184, 1184), (1184, 1184), (1184, 1184)]",0 ; 0 ; 0,4205568,8.411136,20.97152,3.9857979863882065e-05(0.0)
53,3,"[(1195, 1195), (1195, 1195), (1195, 1195)]",0 ; 0 ; 0,4284075,8.56815,20.97152,0.0001027007820084691(0.0)
54,3,"[(1206, 1206), (1206, 1206), (1206, 1206)]",0 ; 0 ; 0,4363308,8.726616,20.97152,0.00013016076991334558(0.0)
55,3,"[(1218, 1218), (1218, 1218), (1218, 1218)]",0 ; 0 ; 0,4450572,8.901144,20.97152,0.00013524830108508468(0.0)
56,3,"[(1229, 1229), (1229, 1229), (1229, 1229)]",0 ; 0 ; 0,4531323,9.062646,20.97152,0.00010775344213470817(0.0)
57,3,"[(1239, 1239), (1239, 1239), (1239, 1239)]",0 ; 0 ; 0,4605363,9.210726,20.97152,0.00010973709169775247(0.0)
58,3,"[(1250, 1250), (1250, 1250), (1250, 1250)]",0 ; 0 ; 0,4687500,9.375,20.97152,0.0001446081302128732(0.0)
59,3,"[(1261, 1261), (1261, 1261), (1261, 1261)]",0 ; 0 ; 0,4770363,9.540726,20.97152,0.00011104537174105644(0.0)
60,3,"[(1272, 1272), (1272, 1272), (1272, 1272)]",0 ; 0 ; 0,4853952,9.707904,20.97152,4.831187892705202e-05(0.0)
61,3,"[(1282, 1282), (1282, 1282), (1282, 1282)]",0 ; 0 ; 0,4930572,9.861144,20.97152,9.876461001113058e-05(0.0)
62,3,"[(1293, 1293), (1293, 1293), (1293, 1293)]",0 ; 0 ; 0,5015547,10.031094,20.97152,0.0001627041888423264(0.0)
63,3,"[(1303, 1303), (1303, 1303), (1303, 1303)]",0 ; 0 ; 0,5093427,10.186854,20.97152,0.00015995848923921585(0.0)
64,3,"[(1313, 1313), (1313, 1313), (1313, 1313)]",0 ; 0 ; 0,5171907,10.343814,20.97152,0.0001558433915488422(0.0)
65,3,"[(1323, 1323), (1323, 1323), (1323, 1323)]",0 ; 0 ; 0,5250987,10.501974,20.97152,0.00015923230908811094(0.0)
66,3,"[(1333, 1333), (1333, 1333), (1333, 1333)]",0 ; 0 ; 0,5330667,10.661334,20.97152,0.00016032958868891(0.0)
67,3,"[(1343, 1343), (1343, 1343), (1343, 1343)]",0 ; 0 ; 0,5410947,10.821894,20.97152,0.00015823863912373782(0.0)
68,3,"[(1353, 1353), (1353, 1353), (1353, 1353)]",0 ; 0 ; 0,5491827,10.983654,20.97152,0.00016335082007572056(0.0)
69,3,"[(1363, 1363), (1363, 1363), (1363, 1363)]",0 ; 0 ; 0,5573307,11.146614,20.97152,0.00015382878948003054(0.0)
70,3,"[(1373, 1373), (1373, 1373), (1373, 1373)]",0 ; 0 ; 0,5655387,11.310774,20.97152,0.0001556281908415258(0.0)
71,3,"[(1383, 1383), (1383, 1383), (1383, 1383)]",0 ; 0 ; 0,5738067,11.476134,20.97152,0.00016422738088294863(0.0)
72,3,"[(1393, 1393), (1393, 1393), (1393, 1393)]",0 ; 0 ; 0,5821347,11.642694,20.97152,0.0001616689399816096(0.0)
73,3,"[(1402, 1402), (1402, 1402), (1402, 1402)]",0 ; 0 ; 0,5896812,11.793624,20.97152,0.00011101210955530405(0.0)
74,3,"[(1412, 1412), (1412, 1412), (1412, 1412)]",0 ; 0 ; 0,5981232,11.962464,20.97152,0.00010823003947734832(0.0)
75,3,"[(1421, 1421), (1421, 1421), (1421, 1421)]",0 ; 0 ; 0,6057723,12.115446,20.97152,0.00015952196903526783(0.0)
76,3,"[(1431, 1431), (1431, 1431), (1431, 1431)]",0 ; 0 ; 0,6143283,12.286566,20.97152,0.00016834738198667765(0.0)
77,3,"[(1440, 1440), (1440, 1440), (1440, 1440)]",0 ; 0 ; 0,6220800,12.4416,20.97152,5.643386160954833e-05(0.0)
78,3,"[(1449, 1449), (1449, 1449), (1449, 1449)]",0 ; 0 ; 0,6298803,12.597606,20.97152,0.00017579859122633933(0.0)
79,3,"[(1459, 1459), (1459, 1459), (1459, 1459)]",0 ; 0 ; 0,6386043,12.772086,20.97152,0.000174804599955678(0.0)
80,3,"[(1468, 1468), (1468, 1468), (1468, 1468)]",0 ; 0 ; 0,6465072,12.930144,20.97152,0.00011505856877192854(0.0)
81,3,"[(1477, 1477), (1477, 1477), (1477, 1477)]",0 ; 0 ; 0,6544587,13.089174,20.97152,0.0001723016705363989(0.0)
82,3,"[(1486, 1486), (1486, 1486), (1486, 1486)]",0 ; 0 ; 0,6624588,13.249176,20.97152,0.00011805283837020398(0.0)
83,3,"[(1495, 1495), (1495, 1495), (1495, 1495)]",0 ; 0 ; 0,6705075,13.41015,20.97152,0.00017790398094803096(0.0)
84,3,"[(1504, 1504), (1504, 1504), (1504, 1504)]",0 ; 0 ; 0,6786048,13.572096,20.97152,5.817465949803591e-05(0.0)
85,3,"[(1513, 1513), (1513, 1513), (1513, 1513)]",0 ; 0 ; 0,6867507,13.735014,20.97152,0.0001866970187984407(0.0)
86,3,"[(1522, 1522), (1522, 1522), (1522, 1522)]",0 ; 0 ; 0,6949452,13.898904,20.97152,0.00011418061098083854(0.0)
87,3,"[(1531, 1531), (1531, 1531), (1531, 1531)]",0 ; 0 ; 0,7031883,14.063766,20.97152,0.0001795133203268051(0.0)
88,3,"[(1539, 1539), (1539, 1539), (1539, 1539)]",0 ; 0 ; 0,7105563,14.211126,20.97152,0.00018269725143909454(0.0)
89,3,"[(1548, 1548), (1548, 1548), (1548, 1548)]",0 ; 0 ; 0,7188912,14.377824,20.97152,0.00011653486173599958(0.0)
90,3,"[(1557, 1557), (1557, 1557), (1557, 1557)]",0 ; 0 ; 0,7272747,14.545494,20.97152,0.00018642171053215862(0.0)
91,3,"[(1565, 1565), (1565, 1565), (1565, 1565)]",0 ; 0 ; 0,7347675,14.69535,20.97152,0.00018311453983187675(0.0)
92,3,"[(1574, 1574), (1574, 1574), (1574, 1574)]",0 ; 0 ; 0,7432428,14.864856,20.97152,0.000122461779974401(0.0)
93,3,"[(1582, 1582), (1582, 1582), (1582, 1582)]",0 ; 0 ; 0,7508172,15.016344,20.97152,0.00012289711041375993(0.0)
94,3,"[(1591, 1591), (1591, 1591), (1591, 1591)]",0 ; 0 ; 0,7593843,15.187686,20.97152,0.00019317538011819123(0.0)
95,3,"[(1599, 1599), (1599, 1599), (1599, 1599)]",0 ; 0 ; 0,7670403,15.340806,20.97152,0.00018821259029209615(0.0)
96,3,"[(1608, 1608), (1608, 1608), (1608, 1608)]",0 ; 0 ; 0,7756992,15.513984,20.97152,7.682177005335688e-05(0.0)
97,3,"[(1616, 1616), (1616, 1616), (1616, 1616)]",0 ; 0 ; 0,7834368,15.668736,20.97152,7.325320038944482e-05(0.0)
98,3,"[(1624, 1624), (1624, 1624), (1624, 1624)]",0 ; 0 ; 0,7912128,15.824256,41.94304,7.812283001840115e-05(0.0)
99,3,"[(1632, 1632), (1632, 1632), (1632, 1632)]",0 ; 0 ; 0,7990272,15.980544,41.94304,7.530549075454473e-05(0.0)
