,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
0,1 square 0,"(1224, 1224)",0,2996352,14.98176,23.068672,0.00018535726005211472(0.0),0.0001377874599711504(0.0)
1,1 square 1,"(1224, 1224)",0,2996352,14.98176,23.068672,0.00015913249997538516(0.0),0.00011343984995619394(0.0)
2,1 square 0,"(1392, 1392)",0,3875328,19.37664,44.040192,0.000210406679980224(0.0),0.0001639719399099704(0.0)
3,1 square 1,"(1392, 1392)",0,3875328,19.37664,44.040192,0.0001905826199799776(0.0),0.00014385201997356488(0.0)
4,1 square 0,"(1542, 1542)",0,4755528,23.77764,44.040192,0.0002311589999590069(0.0),0.00018333982996409758(0.0)
5,1 square 1,"(1542, 1542)",0,4755528,23.77764,44.040192,0.00022304015001282096(0.0),0.0001755993098777253(0.0)
6,1 square 0,"(1678, 1678)",0,5631368,28.15684,46.137344,0.0002692197100259364(0.0),0.00017406561004463584(0.0)
7,1 square 1,"(1678, 1678)",0,5631368,28.15684,46.137344,0.00022275411000009627(0.0),0.00017646806008997373(0.0)
8,1 square 0,"(1804, 1804)",0,6508832,32.54416,50.331648,0.00024857600990799253(0.0),0.0001909646499552764(0.0)
9,1 square 1,"(1804, 1804)",0,6508832,32.54416,50.331648,0.00026167877003899773(0.0),0.0002072205599688459(0.0)
10,1 square 0,"(1922, 1922)",0,7388168,36.94084,54.525952,0.00027358106002793646(0.0),0.00021141498989891262(0.0)
11,1 square 1,"(1922, 1922)",0,7388168,36.94084,54.525952,0.00030137508001644165(0.0),0.00023911783006042242(0.0)
12,1 square 0,"(2033, 2033)",0,8266178,41.33089,56.623104,0.00029512095003155994(0.0),0.00023093016003258526(0.0)
13,1 square 1,"(2033, 2033)",0,8266178,41.33089,56.623104,0.0003324328499729745(0.0),0.0002665174000139814(0.0)
14,1 square 0,"(2139, 2139)",0,9150642,45.75321,60.817408,0.00031970951997209343(0.0),0.0002490747500269208(0.0)
15,1 square 1,"(2139, 2139)",0,9150642,45.75321,60.817408,0.00036653991002822295(0.0),0.0002995713701238856(0.0)
16,1 square 0,"(2239, 2239)",0,10026242,50.13121,65.011712,0.00034329449001234023(0.0),0.0002718387699860614(0.0)
17,1 square 1,"(2239, 2239)",0,10026242,50.13121,65.011712,0.0003968460799660534(0.0),0.0003262305399402976(0.0)
18,1 square 0,"(2335, 2335)",0,10904450,54.52225,71.303168,0.0003668857600132469(0.0),0.0002930371199909132(0.0)
19,1 square 1,"(2335, 2335)",0,10904450,54.52225,71.303168,0.0004301707400009036(0.0),0.000359009870007867(0.0)
20,1 square 0,"(2427, 2427)",0,11780658,58.90329,75.497472,0.0003894140299235005(0.0),0.00031109113013371825(0.0)
21,1 square 1,"(2427, 2427)",0,11780658,58.90329,75.497472,0.0004624576600326691(0.0),0.00038855480990605427(0.0)
22,1 square 0,"(2516, 2516)",0,12660512,63.30256,83.88608,0.00041307924009743147(0.0),0.0003298962699773256(0.0)
23,1 square 1,"(2516, 2516)",0,12660512,63.30256,83.88608,0.0004970436099392827(0.0),0.00041984463998232966(0.0)
24,1 square 0,"(2602, 2602)",0,13540808,67.70404,85.983232,0.00043726504998630844(0.0),0.00035081960988463833(0.0)
25,1 square 1,"(2602, 2602)",0,13540808,67.70404,85.983232,0.0005315116400015541(0.0),0.00045379668998066333(0.0)
26,1 square 0,"(2685, 2685)",0,14418450,72.09225,90.177536,0.000459239379997598(0.0),0.0003698399399581831(0.0)
27,1 square 1,"(2685, 2685)",0,14418450,72.09225,90.177536,0.0005638242799614091(0.0),0.000482827040104894(0.0)
28,1 square 0,"(2766, 2766)",0,15301512,76.50756,98.566144,0.0004844266599684488(0.0),0.00039013077999697996(0.0)
29,1 square 1,"(2766, 2766)",0,15301512,76.50756,98.566144,0.0006024032999994234(0.0),0.0005204692701227031(0.0)
30,1 square 0,"(2844, 2844)",0,16176672,80.88336,100.663296,0.0005081312599941156(0.0),0.00041199811006663366(0.0)
31,1 square 1,"(2844, 2844)",0,16176672,80.88336,100.663296,0.0006757626199396327(0.0),0.00054680814006133(0.0)
32,1 square 0,"(2920, 2920)",0,17052800,85.264,109.051904,0.0005289435799932107(0.0),0.0004299930100387428(0.0)
33,1 square 1,"(2920, 2920)",0,17052800,85.264,109.051904,0.0006686236200039275(0.0),0.0005808805199922063(0.0)
34,1 square 0,"(2994, 2994)",0,17928072,89.64036,113.246208,0.0005546402400068473(0.0),0.0004524787000264041(0.0)
35,1 square 1,"(2994, 2994)",0,17928072,89.64036,113.246208,0.000703089140006341(0.0),0.0006112384800508152(0.0)
36,1 square 0,"(3067, 3067)",0,18812978,94.06489,115.34336,0.0005759925898746588(0.0),0.0004712382399884518(0.0)
37,1 square 1,"(3067, 3067)",0,18812978,94.06489,115.34336,0.0007388247599010356(0.0),0.0006446668600256089(0.0)
38,1 square 0,"(3138, 3138)",0,19694088,98.47044,123.731968,0.0006013766399701126(0.0),0.0004943204599840101(0.0)
39,1 square 1,"(3138, 3138)",0,19694088,98.47044,123.731968,0.0007720462400175166(0.0),0.0006766689200594555(0.0)
40,1 square 0,"(3207, 3207)",0,20569698,102.84849,127.926272,0.0006251012798747979(0.0),0.0005153270499431528(0.0)
41,1 square 1,"(3207, 3207)",0,20569698,102.84849,127.926272,0.0008093283898779191(0.0),0.0007091605199093465(0.0)
42,1 square 0,"(3275, 3275)",0,21451250,107.25625,134.217728,0.0006482843898993451(0.0),0.0005390701099531725(0.0)
43,1 square 1,"(3275, 3275)",0,21451250,107.25625,134.217728,0.0008425491499656346(0.0),0.0007429514601244591(0.0)
44,1 square 0,"(3341, 3341)",0,22324562,111.62281,138.412032,0.0006721959600690752(0.0),0.0005612843899871222(0.0)
45,1 square 1,"(3341, 3341)",0,22324562,111.62281,138.412032,0.000877537069900427(0.0),0.0007738727900141384(0.0)
46,1 square 0,"(3406, 3406)",0,23201672,116.00836,146.80064,0.0006984008800645825(0.0),0.0005838372099970002(0.0)
47,1 square 1,"(3406, 3406)",0,23201672,116.00836,146.80064,0.00091325516012148(0.0),0.000808917609974742(0.0)
48,1 square 0,"(3470, 3470)",0,24081800,120.409,148.897792,0.0007253470999421551(0.0),0.0006267703299818095(0.0)
49,1 square 1,"(3470, 3470)",0,24081800,120.409,148.897792,0.0009461774799274281(0.0),0.0008410272799665109(0.0)
50,1 square 0,"(3533, 3533)",0,24964178,124.82089,153.092096,0.0007489060099760536(0.0),0.0006314607999229338(0.0)
51,1 square 1,"(3533, 3533)",0,24964178,124.82089,153.092096,0.0009842208599729928(0.0),0.0008755622399621643(0.0)
52,1 square 0,"(3595, 3595)",0,25848050,129.24025,161.480704,0.0007773254100175109(0.0),0.0006576998699165414(0.0)
53,1 square 1,"(3595, 3595)",0,25848050,129.24025,161.480704,0.001017049489892088(0.0),0.0009063530300045386(0.0)
54,1 square 0,"(3655, 3655)",0,26718050,133.59025,163.577856,0.0008058561199868564(0.0),0.000684498010086827(0.0)
55,1 square 1,"(3655, 3655)",0,26718050,133.59025,163.577856,0.0010524153099686373(0.0),0.0009396459300478455(0.0)
56,1 square 0,"(3715, 3715)",0,27602450,138.01225,171.966464,0.0008406620899040718(0.0),0.0007161998099763878(0.0)
57,1 square 1,"(3715, 3715)",0,27602450,138.01225,171.966464,0.001086614939995343(0.0),0.0009714605400222353(0.0)
58,1 square 0,"(3773, 3773)",0,28471058,142.35529,176.160768,0.0008774373699270654(0.0),0.0007515650399727747(0.0)
59,1 square 1,"(3773, 3773)",0,28471058,142.35529,176.160768,0.0011242403299547732(0.0),0.0010055849299533293(0.0)
60,1 square 0,"(3831, 3831)",0,29353122,146.76561,178.25792,0.0009619882400147616(0.0),0.0007926645899715368(0.0)
61,1 square 1,"(3831, 3831)",0,29353122,146.76561,178.25792,0.0011588938199565747(0.0),0.0010390149799059144(0.0)
62,1 square 0,"(3888, 3888)",0,30233088,151.16544,186.646528,0.0009672466799383983(0.0),0.0008368716300174128(0.0)
63,1 square 1,"(3888, 3888)",0,30233088,151.16544,186.646528,0.0011955644100089557(0.0),0.0010762603700277395(0.0)
64,1 square 0,"(3944, 3944)",0,31110272,155.55136,190.840832,0.0010242044100596103(0.0),0.0008910826599458232(0.0)
65,1 square 1,"(3944, 3944)",0,31110272,155.55136,190.840832,0.0012304966998635792(0.0),0.0011047497999970802(0.0)
66,1 square 0,"(4000, 4000)",0,32000000,160.0,199.22944,0.0011057938699377701(0.0),0.0009704986200085842(0.0)
67,1 square 1,"(4000, 4000)",0,32000000,160.0,199.22944,0.0013438456800940913(0.0),0.001139236970047932(0.0)
68,1 square 0,"(4054, 4054)",0,32869832,164.34916,201.326592,0.0011748667899519206(0.0),0.0010367589299858082(0.0)
69,1 square 1,"(4054, 4054)",0,32869832,164.34916,201.326592,0.0013001302900374867(0.0),0.001171669449977344(0.0)
70,1 square 0,"(4108, 4108)",0,33751328,168.75664,209.7152,0.0012632953700085637(0.0),0.001113252960058162(0.0)
71,1 square 1,"(4108, 4108)",0,33751328,168.75664,209.7152,0.0013540531699254644(0.0),0.0012150825699791313(0.0)
72,1 square 0,"(4161, 4161)",0,34627842,173.13921,213.909504,0.001352803609916009(0.0),0.0011911489500198514(0.0)
73,1 square 1,"(4161, 4161)",0,34627842,173.13921,213.909504,0.0013729900500038638(0.0),0.0012380769199808127(0.0)
74,1 square 0,"(4213, 4213)",0,35498738,177.49369,216.006656,0.0014095166701008565(0.0),0.0012651320500299335(0.0)
75,1 square 1,"(4213, 4213)",0,35498738,177.49369,216.006656,0.0014070736599387601(0.0),0.0012716775099397637(0.0)
76,1 square 0,"(4265, 4265)",0,36380450,181.90225,224.395264,0.0014989031699951738(0.0),0.0013516064500436187(0.0)
77,1 square 1,"(4265, 4265)",0,36380450,181.90225,224.395264,0.0014447671700327193(0.0),0.0013066392700420693(0.0)
78,1 square 0,"(4316, 4316)",0,37255712,186.27856,228.589568,0.0015775717100768817(0.0),0.0014282684998761397(0.0)
79,1 square 1,"(4316, 4316)",0,37255712,186.27856,228.589568,0.001483932880073553(0.0),0.0013399780601321253(0.0)
80,1 square 0,"(4367, 4367)",0,38141378,190.70689,234.881024,0.0016597557000932284(0.0),0.001505785659974208(0.0)
81,1 square 1,"(4367, 4367)",0,38141378,190.70689,234.881024,0.0015177770299487747(0.0),0.0013733163599681576(0.0)
82,1 square 0,"(4417, 4417)",0,39019778,195.09889,239.075328,0.0017397662899747957(0.0),0.0015830308198928832(0.0)
83,1 square 1,"(4417, 4417)",0,39019778,195.09889,239.075328,0.001557292989891721(0.0),0.0014073859299242031(0.0)
84,1 square 0,"(4467, 4467)",0,39908178,199.54089,247.463936,0.0018197428999701514(0.0),0.0016790791100356728(0.0)
85,1 square 1,"(4467, 4467)",0,39908178,199.54089,247.463936,0.001591330599912908(0.0),0.0014417009700264315(0.0)
86,1 square 0,"(4515, 4515)",0,40770450,203.85225,249.561088,0.0018957829799910542(0.0),0.0017348661199503112(0.0)
87,1 square 1,"(4515, 4515)",0,40770450,203.85225,249.561088,0.0016253649099962787(0.0),0.0014740267499291804(0.0)
88,1 square 0,"(4564, 4564)",0,41660192,208.30096,253.755392,0.001974222290009493(0.0),0.0018121283099753781(0.0)
89,1 square 1,"(4564, 4564)",0,41660192,208.30096,253.755392,0.0016648475099646021(0.0),0.0015078168000036386(0.0)
90,1 square 0,"(4612, 4612)",0,42541088,212.70544,262.144,0.0020639507299347313(0.0),0.0018993958999635652(0.0)
91,1 square 1,"(4612, 4612)",0,42541088,212.70544,262.144,0.001699683430051664(0.0),0.001542495910107391(0.0)
92,1 square 0,"(4659, 4659)",0,43412562,217.06281,264.241152,0.0021501218499906825(0.0),0.0019817012100247665(0.0)
93,1 square 1,"(4659, 4659)",0,43412562,217.06281,264.241152,0.0017344389000209048(0.0),0.0015754813401144929(0.0)
94,1 square 0,"(4706, 4706)",0,44292872,221.46436,272.62976,0.002230157069861889(0.0),0.0020594476099358872(0.0)
95,1 square 1,"(4706, 4706)",0,44292872,221.46436,272.62976,0.0018887553800595925(0.0),0.0016089009800634812(0.0)
96,1 square 0,"(4752, 4752)",0,45163008,225.81504,276.824064,0.0023106600900064224(0.0),0.002137870700098574(0.0)
97,1 square 1,"(4752, 4752)",0,45163008,225.81504,276.824064,0.0018080749300133903(0.0),0.0016442435600038151(0.0)
98,1 square 0,"(4798, 4798)",0,46041608,230.20804,278.921216,0.0023966136999661104(0.0),0.0022214934999647083(0.0)
99,1 square 1,"(4798, 4798)",0,46041608,230.20804,278.921216,0.0018441660299140495(0.0),0.0016767066999454983(0.0)
100,1 square 0,"(4844, 4844)",0,46928672,234.64336,287.309824,0.0024797981600568164(0.0),0.0023013786399678792(0.0)
101,1 square 1,"(4844, 4844)",0,46928672,234.64336,287.309824,0.0018819571200583596(0.0),0.0017119362601079047(0.0)
102,1 square 0,"(4889, 4889)",0,47804642,239.02321,291.504128,0.0025582318700617178(0.0),0.002377426930033835(0.0)
103,1 square 1,"(4889, 4889)",0,47804642,239.02321,291.504128,0.0019176851300289855(0.0),0.0017459751800925005(0.0)
104,1 square 0,"(4934, 4934)",0,48688712,243.44356,297.795584,0.0026483565499074756(0.0),0.0024653546699846627(0.0)
105,1 square 1,"(4934, 4934)",0,48688712,243.44356,297.795584,0.0019541180699889082(0.0),0.0017798119099461474(0.0)
106,1 square 0,"(4978, 4978)",0,49560968,247.80484,301.989888,0.002728531739994651(0.0),0.0025431953399674967(0.0)
107,1 square 1,"(4978, 4978)",0,49560968,247.80484,301.989888,0.001990158560074633(0.0),0.0018124413599434775(0.0)
108,1 square 0,"(5022, 5022)",0,50440968,252.20484,310.378496,0.0028128378400288055(0.0),0.002624264019978(0.0)
109,1 square 1,"(5022, 5022)",0,50440968,252.20484,310.378496,0.0020264589501312004(0.0),0.0018474777598748915(0.0)
110,1 square 0,"(5066, 5066)",0,51328712,256.64356,312.475648,0.002896020199987106(0.0),0.0027059011699748226(0.0)
111,1 square 1,"(5066, 5066)",0,51328712,256.64356,312.475648,0.002063080139923841(0.0),0.0018817372899502516(0.0)
112,1 square 0,"(5109, 5109)",0,52203762,261.01881,316.669952,0.002977395769994473(0.0),0.0027848353999434037(0.0)
113,1 square 1,"(5109, 5109)",0,52203762,261.01881,316.669952,0.0020996826999180483(0.0),0.0019161243599955923(0.0)
114,1 square 0,"(5152, 5152)",0,53086208,265.43104,325.05856,0.0030634847200417424(0.0),0.0028673621399502736(0.0)
115,1 square 1,"(5152, 5152)",0,53086208,265.43104,325.05856,0.002133717200049432(0.0),0.001949193140026182(0.0)
116,1 square 0,"(5194, 5194)",0,53955272,269.77636,327.155712,0.0031496856900048442(0.0),0.0029525893600657583(0.0)
117,1 square 1,"(5194, 5194)",0,53955272,269.77636,327.155712,0.002171310630074004(0.0),0.0019827871100278572(0.0)
118,1 square 0,"(5236, 5236)",0,54831392,274.15696,335.54432,0.0032329054300498684(0.0),0.0030324801200185903(0.0)
119,1 square 1,"(5236, 5236)",0,54831392,274.15696,335.54432,0.0022087575700425075(0.0),0.002017559509986313(0.0)
120,1 square 0,"(5278, 5278)",0,55714568,278.57284,339.738624,0.0033199672200134953(0.0),0.003117812349955784(0.0)
121,1 square 1,"(5278, 5278)",0,55714568,278.57284,339.738624,0.0022453000300447458(0.0),0.0020529936499951874(0.0)
122,1 square 0,"(5320, 5320)",0,56604800,283.024,341.835776,0.003407955169968773(0.0),0.0032024341300711965(0.0)
123,1 square 1,"(5320, 5320)",0,56604800,283.024,341.835776,0.0022838193899951875(0.0),0.0020863764300884215(0.0)
124,1 square 0,"(5361, 5361)",0,57480642,287.40321,350.224384,0.0034922810998978095(0.0),0.003284517220017733(0.0)
125,1 square 1,"(5361, 5361)",0,57480642,287.40321,350.224384,0.0023199981499055864(0.0),0.0021224571000493598(0.0)
126,1 square 0,"(5402, 5402)",0,58363208,291.81604,354.418688,0.003574775460001547(0.0),0.0033646325900917873(0.0)
127,1 square 1,"(5402, 5402)",0,58363208,291.81604,354.418688,0.0023553891200572253(0.0),0.0021541361500567293(0.0)
128,1 square 0,"(5442, 5442)",0,59230728,296.15364,360.710144,0.0036589076100790405(0.0),0.003447495549917221(0.0)
129,1 square 1,"(5442, 5442)",0,59230728,296.15364,360.710144,0.002390940690092975(0.0),0.002188075470039621(0.0)
130,1 square 0,"(5482, 5482)",0,60104648,300.52324,364.904448,0.003742112519976217(0.0),0.0035269034799421204(0.0)
131,1 square 1,"(5482, 5482)",0,60104648,300.52324,364.904448,0.0024270457000238822(0.0),0.0022223770800337663(0.0)
132,1 square 0,"(5522, 5522)",0,60984968,304.92484,373.293056,0.0038284489398938606(0.0),0.0036106959899188953(0.0)
133,1 square 1,"(5522, 5522)",0,60984968,304.92484,373.293056,0.0024656059499830007(0.0),0.00225649133004481(0.0)
134,1 square 0,"(5562, 5562)",0,61871688,309.35844,377.48736,0.003916696770029375(0.0),0.0036968454701127485(0.0)
135,1 square 1,"(5562, 5562)",0,61871688,309.35844,377.48736,0.0025007459499465767(0.0),0.002290199919953011(0.0)
136,1 square 0,"(5601, 5601)",0,62742402,313.71201,379.584512,0.003999606219877023(0.0),0.0037781704199733213(0.0)
137,1 square 1,"(5601, 5601)",0,62742402,313.71201,379.584512,0.002540504760108888(0.0),0.0023260116699384526(0.0)
138,1 square 0,"(5640, 5640)",0,63619200,318.096,387.97312,0.004088814569986426(0.0),0.0038652714800264222(0.0)
139,1 square 1,"(5640, 5640)",0,63619200,318.096,387.97312,0.0025748489500256257(0.0),0.0023606812801153865(0.0)
140,1 square 0,"(5679, 5679)",0,64502082,322.51041,392.167424,0.004172153429972241(0.0),0.003942074590013362(0.0)
141,1 square 1,"(5679, 5679)",0,64502082,322.51041,392.167424,0.002610214059968712(0.0),0.002394041700026719(0.0)
142,1 square 0,"(5718, 5718)",0,65391048,326.95524,398.45888,0.0042530864400032444(0.0),0.004023908700037282(0.0)
143,1 square 1,"(5718, 5718)",0,65391048,326.95524,398.45888,0.0026482292800210417(0.0),0.0024281260899442713(0.0)
144,1 square 0,"(5756, 5756)",0,66263072,331.31536,402.653184,0.004341698649950558(0.0),0.0041093738800555(0.0)
145,1 square 1,"(5756, 5756)",0,66263072,331.31536,402.653184,0.002685614020010689(0.0),0.0024631864399998447(0.0)
146,1 square 0,"(5794, 5794)",0,67140872,335.70436,411.041792,0.0044308836499112655(0.0),0.004196248410007684(0.0)
147,1 square 1,"(5794, 5794)",0,67140872,335.70436,411.041792,0.002722165360028157(0.0),0.0024970946999383157(0.0)
148,1 square 0,"(5832, 5832)",0,68024448,340.12224,413.138944,0.00451034988000174(0.0),0.004274903019977501(0.0)
149,1 square 1,"(5832, 5832)",0,68024448,340.12224,413.138944,0.0027575193600205238(0.0),0.0025326778199814726(0.0)
150,1 square 0,"(5869, 5869)",0,68890322,344.45161,417.333248,0.004599047459923895(0.0),0.004357927380042383(0.0)
151,1 square 1,"(5869, 5869)",0,68890322,344.45161,417.333248,0.002796532060019672(0.0),0.0025663095600612(0.0)
152,1 square 0,"(5907, 5907)",0,69785298,348.92649,425.721856,0.004685802669991972(0.0),0.004443816840066574(0.0)
153,1 square 1,"(5907, 5907)",0,69785298,348.92649,425.721856,0.002833074309892254(0.0),0.0026122068701079117(0.0)
154,1 square 0,"(5944, 5944)",0,70662272,353.31136,427.819008,0.0048287471500225365(0.0),0.004527839190122904(0.0)
155,1 square 1,"(5944, 5944)",0,70662272,353.31136,427.819008,0.0028802586399251594(0.0),0.002634384269913426(0.0)
156,1 square 0,"(5981, 5981)",0,71544722,357.72361,436.207616,0.004862812589999521(0.0),0.004610759850038448(0.0)
157,1 square 1,"(5981, 5981)",0,71544722,357.72361,436.207616,0.002905839859886328(0.0),0.0026699609799834432(0.0)
158,1 square 0,"(6017, 6017)",0,72408578,362.04289,440.40192,0.004945198740024352(0.0),0.004696462370047811(0.0)
159,1 square 1,"(6017, 6017)",0,72408578,362.04289,440.40192,0.0029429245299252217(0.0),0.0027044627600116655(0.0)
160,1 square 0,"(6054, 6054)",0,73301832,366.50916,442.499072,0.0050333527899056206(0.0),0.004781103380082641(0.0)
161,1 square 1,"(6054, 6054)",0,73301832,366.50916,442.499072,0.002976392660057172(0.0),0.002738180860033026(0.0)
162,1 square 0,"(6090, 6090)",0,74176200,370.881,450.88768,0.005115723210037686(0.0),0.004860729909996735(0.0)
163,1 square 1,"(6090, 6090)",0,74176200,370.881,450.88768,0.003014501050056424(0.0),0.002770972400030587(0.0)
164,1 square 0,"(6126, 6126)",0,75055752,375.27876,455.081984,0.005198687850061105(0.0),0.004943162540002959(0.0)
165,1 square 1,"(6126, 6126)",0,75055752,375.27876,455.081984,0.0030518718500388785(0.0),0.0028072274100850335(0.0)
166,1 square 0,"(6161, 6161)",0,75915842,379.57921,461.37344,0.005282368640037021(0.0),0.005024202240019804(0.0)
167,1 square 1,"(6161, 6161)",0,75915842,379.57921,461.37344,0.003087139269919135(0.0),0.0028408309900260064(0.0)
168,1 square 0,"(6197, 6197)",0,76805618,384.02809,465.567744,0.005378209000045899(0.0),0.0051177562899829354(0.0)
169,1 square 1,"(6197, 6197)",0,76805618,384.02809,465.567744,0.0031252516798849685(0.0),0.002877735299989581(0.0)
170,1 square 0,"(6232, 6232)",0,77675648,388.37824,473.956352,0.00546396873993217(0.0),0.0052013531301054175(0.0)
171,1 square 1,"(6232, 6232)",0,77675648,388.37824,473.956352,0.003162277319934219(0.0),0.0029094479099148886(0.0)
172,1 square 0,"(6268, 6268)",0,78575648,392.87824,476.053504,0.005551865279994672(0.0),0.005285430270014331(0.0)
173,1 square 1,"(6268, 6268)",0,78575648,392.87824,476.053504,0.003201029529882362(0.0),0.0029452791099902243(0.0)
174,1 square 0,"(6302, 6302)",0,79430408,397.15204,480.247808,0.005634942739998223(0.0),0.005368225690035615(0.0)
175,1 square 1,"(6302, 6302)",0,79430408,397.15204,480.247808,0.003235735389898764(0.0),0.0029793882499507163(0.0)
176,1 square 0,"(6337, 6337)",0,80315138,401.57569,488.636416,0.005730511389992898(0.0),0.005451630450115772(0.0)
177,1 square 1,"(6337, 6337)",0,80315138,401.57569,488.636416,0.003274654709966853(0.0),0.003016146579902852(0.0)
178,1 square 0,"(6372, 6372)",0,81204768,406.02384,490.733568,0.005807602819986641(0.0),0.005535885019926354(0.0)
179,1 square 1,"(6372, 6372)",0,81204768,406.02384,490.733568,0.0033108411800640168(0.0),0.0030496884499734735(0.0)
180,1 square 0,"(6406, 6406)",0,82073672,410.36836,499.122176,0.005901789159979671(0.0),0.005623967830033507(0.0)
181,1 square 1,"(6406, 6406)",0,82073672,410.36836,499.122176,0.0033449742499215064(0.0),0.0030831189999298656(0.0)
182,1 square 0,"(6440, 6440)",0,82947200,414.736,503.31648,0.00598439220993896(0.0),0.005707995379925706(0.0)
183,1 square 1,"(6440, 6440)",0,82947200,414.736,503.31648,0.0033825618599075823(0.0),0.003117441630020039(0.0)
184,1 square 0,"(6474, 6474)",0,83825352,419.12676,505.413632,0.006068259049934568(0.0),0.005790826360025676(0.0)
185,1 square 1,"(6474, 6474)",0,83825352,419.12676,505.413632,0.003419548429956194(0.0),0.0031510348999290727(0.0)
186,1 square 0,"(6508, 6508)",0,84708128,423.54064,513.80224,0.006157229130039923(0.0),0.005875242429901846(0.0)
187,1 square 1,"(6508, 6508)",0,84708128,423.54064,513.80224,0.0034578303499438333(0.0),0.0031870358099695293(0.0)
188,1 square 0,"(6542, 6542)",0,85595528,427.97764,517.996544,0.006242104770062724(0.0),0.005956794300000183(0.0)
189,1 square 1,"(6542, 6542)",0,85595528,427.97764,517.996544,0.003496506219962612(0.0),0.003221585069986759(0.0)
190,1 square 0,"(6575, 6575)",0,86461250,432.30625,524.288,0.0063331861399638(0.0),0.006047998699941672(0.0)
191,1 square 1,"(6575, 6575)",0,86461250,432.30625,524.288,0.003530213779886253(0.0),0.0032549054200353565(0.0)
192,1 square 0,"(6609, 6609)",0,87357762,436.78881,528.482304,0.006419195019989274(0.0),0.006129253299877746(0.0)
193,1 square 1,"(6609, 6609)",0,87357762,436.78881,528.482304,0.003574935969954822(0.0),0.0032900266601063777(0.0)
194,1 square 0,"(6642, 6642)",0,88232328,441.16164,536.870912,0.006539888940023957(0.0),0.006216345730063039(0.0)
195,1 square 1,"(6642, 6642)",0,88232328,441.16164,536.870912,0.0036051178799243644(0.0),0.003324136500013992(0.0)
196,1 square 0,"(6675, 6675)",0,89111250,445.55625,538.968064,0.006594402210030239(0.0),0.006301114469970344(0.0)
197,1 square 1,"(6675, 6675)",0,89111250,445.55625,538.968064,0.0036435215298843103(0.0),0.003358482180046849(0.0)
198,1 square 0,"(6708, 6708)",0,89994528,449.97264,543.162368,0.006688046909985133(0.0),0.006388215710030636(0.0)
