,"Reduce factor, shape, dim",Input size,Sparsity,Total elements,Input memory,Total Memory,GPU clock time py geo (IQR),GPU clock time native (IQR)
199,1 square 1,"(6708, 6708)",0,89994528,449.97264,543.162368,0.0036783285799901933(0.0),0.0033942709899565673(0.0)
200,2 square 0,"(1224, 1224)",0,2996352,14.98176,23.068672,0.00018014886998571456(0.0),0.000136484870017739(0.0)
201,2 square 1,"(1224, 1224)",0,2996352,14.98176,23.068672,0.00013863863990991375(0.0),9.494949990767055e-05(0.0)
202,2 square 0,"(1392, 1392)",0,3875328,19.37664,44.040192,0.00020430921998922712(0.0),0.000160531000001356(0.0)
203,2 square 1,"(1392, 1392)",0,3875328,19.37664,44.040192,0.00016805231993203052(0.0),0.00012616337000508792(0.0)
204,2 square 0,"(1542, 1542)",0,4755528,23.77764,44.040192,0.00022194975012098438(0.0),0.0001777350100746844(0.0)
205,2 square 1,"(1542, 1542)",0,4755528,23.77764,44.040192,0.00019756998008233496(0.0),0.00015314023999962956(0.0)
206,2 square 0,"(1678, 1678)",0,5631368,28.15684,46.137344,0.0002528852999967057(0.0),0.00021011118005844764(0.0)
207,2 square 1,"(1678, 1678)",0,5631368,28.15684,46.137344,0.00023758096998790278(0.0),0.0001979194399609696(0.0)
208,2 square 0,"(1804, 1804)",0,6508832,32.54416,50.331648,0.000275391619943548(0.0),0.00022646108001936227(0.0)
209,2 square 1,"(1804, 1804)",0,6508832,32.54416,50.331648,0.0002814252200187184(0.0),0.00022791171009885149(0.0)
210,2 square 0,"(1922, 1922)",0,7388168,36.94084,54.525952,0.0003051684900128748(0.0),0.0002470715099480003(0.0)
211,2 square 1,"(1922, 1922)",0,7388168,36.94084,54.525952,0.00032623357998090796(0.0),0.0002724183000100311(0.0)
212,2 square 0,"(2033, 2033)",0,8266178,41.33089,56.623104,0.00032986032994813285(0.0),0.00026626007005688736(0.0)
213,2 square 1,"(2033, 2033)",0,8266178,41.33089,56.623104,0.0003644916600023862(0.0),0.0003067713099881075(0.0)
214,2 square 0,"(2139, 2139)",0,9150642,45.75321,60.817408,0.00035074428000370973(0.0),0.0002854519301035907(0.0)
215,2 square 1,"(2139, 2139)",0,9150642,45.75321,60.817408,0.0004029333000653423(0.0),0.0003441154700703919(0.0)
216,2 square 0,"(2239, 2239)",0,10026242,50.13121,65.011712,0.00037795269992784596(0.0),0.0003087844100082293(0.0)
217,2 square 1,"(2239, 2239)",0,10026242,50.13121,65.011712,0.00044094070995924993(0.0),0.000366512679902371(0.0)
218,2 square 0,"(2335, 2335)",0,10904450,54.52225,79.691776,0.00039739864005241545(0.0),0.00032599904006929136(0.0)
219,2 square 1,"(2335, 2335)",0,10904450,54.52225,79.691776,0.0004780195599596482(0.0),0.0004020707700692583(0.0)
220,2 square 0,"(2427, 2427)",0,11780658,58.90329,83.88608,0.00042044868998345917(0.0),0.0003472626100119669(0.0)
221,2 square 1,"(2427, 2427)",0,11780658,58.90329,83.88608,0.0005166298200492747(0.0),0.0004396309400908649(0.0)
222,2 square 0,"(2516, 2516)",0,12660512,63.30256,90.177536,0.0004389217999414541(0.0),0.0003634721400158014(0.0)
223,2 square 1,"(2516, 2516)",0,12660512,63.30256,90.177536,0.0005536604799272027(0.0),0.0004801799399137963(0.0)
224,2 square 0,"(2602, 2602)",0,13540808,67.70404,92.274688,0.0004612829399411567(0.0),0.00038509930003783666(0.0)
225,2 square 1,"(2602, 2602)",0,13540808,67.70404,92.274688,0.0005919860900030472(0.0),0.0005240597500232979(0.0)
226,2 square 0,"(2685, 2685)",0,14418450,72.09225,96.468992,0.0004830920399399474(0.0),0.000403489940072177(0.0)
227,2 square 1,"(2685, 2685)",0,14418450,72.09225,96.468992,0.0006299629400018603(0.0),0.0005696724199515302(0.0)
228,2 square 0,"(2766, 2766)",0,15301512,76.50756,102.760448,0.0005045600001176353(0.0),0.0004230582099989988(0.0)
229,2 square 1,"(2766, 2766)",0,15301512,76.50756,102.760448,0.0006726390699623153(0.0),0.0006108962099824566(0.0)
230,2 square 0,"(2844, 2844)",0,16176672,80.88336,104.8576,0.0005281589899095707(0.0),0.0004449728100735229(0.0)
231,2 square 1,"(2844, 2844)",0,16176672,80.88336,104.8576,0.0007119656700524501(0.0),0.0006378786900313571(0.0)
232,2 square 0,"(2920, 2920)",0,17052800,85.264,111.149056,0.0005474005499854684(0.0),0.0004614916299760807(0.0)
233,2 square 1,"(2920, 2920)",0,17052800,85.264,111.149056,0.0007506923499749973(0.0),0.0006760522100375965(0.0)
234,2 square 0,"(2994, 2994)",0,17928072,89.64036,115.34336,0.0005715936499473173(0.0),0.00048356133003835567(0.0)
235,2 square 1,"(2994, 2994)",0,17928072,89.64036,115.34336,0.0007893601000250783(0.0),0.0007147158699808642(0.0)
236,2 square 0,"(3067, 3067)",0,18812978,94.06489,117.440512,0.0005920406899531372(0.0),0.0005018228400149382(0.0)
237,2 square 1,"(3067, 3067)",0,18812978,94.06489,117.440512,0.0008320501599519048(0.0),0.0007439523001085036(0.0)
238,2 square 0,"(3138, 3138)",0,19694088,98.47044,123.731968,0.000614989650057396(0.0),0.0005234153299534228(0.0)
239,2 square 1,"(3138, 3138)",0,19694088,98.47044,123.731968,0.0008730691600067075(0.0),0.0007791921800526325(0.0)
240,2 square 0,"(3207, 3207)",0,20569698,102.84849,127.926272,0.0006380707499920391(0.0),0.0005428737899637781(0.0)
241,2 square 1,"(3207, 3207)",0,20569698,102.84849,127.926272,0.0009163201700721402(0.0),0.0008147476600424852(0.0)
242,2 square 0,"(3275, 3275)",0,21451250,107.25625,123.731968,0.0006582415700540878(0.0),0.0005633678099547978(0.0)
243,2 square 1,"(3275, 3275)",0,21451250,107.25625,123.731968,0.0009564746299292892(0.0),0.0008548232799512334(0.0)
244,2 square 0,"(3341, 3341)",0,22324562,111.62281,127.926272,0.0006813611499092076(0.0),0.000583939280040795(0.0)
245,2 square 1,"(3341, 3341)",0,22324562,111.62281,127.926272,0.0009986727699288168(0.0),0.0008944213899667375(0.0)
246,2 square 0,"(3406, 3406)",0,23201672,116.00836,134.217728,0.0007030745700467378(0.0),0.0006031364499358461(0.0)
247,2 square 1,"(3406, 3406)",0,23201672,116.00836,134.217728,0.0010383499300223775(0.0),0.0009371036299853586(0.0)
248,2 square 0,"(3470, 3470)",0,24081800,120.409,136.31488,0.000726313269988168(0.0),0.0006248991700704209(0.0)
249,2 square 1,"(3470, 3470)",0,24081800,120.409,136.31488,0.001083567059977213(0.0),0.0009807333700882737(0.0)
250,2 square 0,"(3533, 3533)",0,24964178,124.82089,140.509184,0.000747180809994461(0.0),0.0006455068099603523(0.0)
251,2 square 1,"(3533, 3533)",0,24964178,124.82089,140.509184,0.0011266735999379306(0.0),0.001032542460015975(0.0)
252,2 square 0,"(3595, 3595)",0,25848050,129.24025,148.897792,0.0007702456800325309(0.0),0.0006673862399475183(0.0)
253,2 square 1,"(3595, 3595)",0,25848050,129.24025,148.897792,0.001169972619973123(0.0),0.0010752302099717782(0.0)
254,2 square 0,"(3655, 3655)",0,26718050,133.59025,150.994944,0.0007944780599791557(0.0),0.0006896219600457698(0.0)
255,2 square 1,"(3655, 3655)",0,26718050,133.59025,150.994944,0.0012098944399622268(0.0),0.0011300873500294983(0.0)
256,2 square 0,"(3715, 3715)",0,27602450,138.01225,157.2864,0.0008168784799636342(0.0),0.0007108220999361947(0.0)
257,2 square 1,"(3715, 3715)",0,27602450,138.01225,157.2864,0.0012531747100001666(0.0),0.001155854140088195(0.0)
258,2 square 0,"(3773, 3773)",0,28471058,142.35529,161.480704,0.000839499230060028(0.0),0.0007329085400851909(0.0)
259,2 square 1,"(3773, 3773)",0,28471058,142.35529,161.480704,0.0012985300000582355(0.0),0.0011984725600632372(0.0)
260,2 square 0,"(3831, 3831)",0,29353122,146.76561,163.577856,0.0008612358900427353(0.0),0.000752947589935502(0.0)
261,2 square 1,"(3831, 3831)",0,29353122,146.76561,163.577856,0.001340127690054942(0.0),0.001249579610012006(0.0)
262,2 square 0,"(3888, 3888)",0,30233088,151.16544,171.966464,0.0008924895399832167(0.0),0.0007750099799886811(0.0)
263,2 square 1,"(3888, 3888)",0,30233088,151.16544,171.966464,0.0013855902900104411(0.0),0.0012879109400091692(0.0)
264,2 square 0,"(3944, 3944)",0,31110272,155.55136,176.160768,0.0009065862699935679(0.0),0.0007964357599848881(0.0)
265,2 square 1,"(3944, 3944)",0,31110272,155.55136,176.160768,0.0014293588799773715(0.0),0.0013316386500082445(0.0)
266,2 square 0,"(4000, 4000)",0,32000000,160.0,182.452224,0.0009297917201183736(0.0),0.0008186947100330144(0.0)
267,2 square 1,"(4000, 4000)",0,32000000,160.0,182.452224,0.0014722442100173793(0.0),0.001379956540040439(0.0)
268,2 square 0,"(4054, 4054)",0,32869832,164.34916,184.549376,0.0009534644399536773(0.0),0.0008390729100210592(0.0)
269,2 square 1,"(4054, 4054)",0,32869832,164.34916,184.549376,0.0015158944799622987(0.0),0.0014197653500013984(0.0)
270,2 square 0,"(4108, 4108)",0,33751328,168.75664,192.937984,0.0009740365100151393(0.0),0.0008592078599031083(0.0)
271,2 square 1,"(4108, 4108)",0,33751328,168.75664,192.937984,0.001561764240032062(0.0),0.0014919532398926093(0.0)
272,2 square 0,"(4161, 4161)",0,34627842,173.13921,197.132288,0.0009986571299668867(0.0),0.0008826292101002764(0.0)
273,2 square 1,"(4161, 4161)",0,34627842,173.13921,197.132288,0.0016025783600343857(0.0),0.0015014823400997556(0.0)
274,2 square 0,"(4213, 4213)",0,35498738,177.49369,199.22944,0.001021852959966054(0.0),0.0009027639499981887(0.0)
275,2 square 1,"(4213, 4213)",0,35498738,177.49369,199.22944,0.0016480815199611243(0.0),0.0015610580999054946(0.0)
276,2 square 0,"(4265, 4265)",0,36380450,181.90225,205.520896,0.0010437292901042383(0.0),0.0009246550098760053(0.0)
277,2 square 1,"(4265, 4265)",0,36380450,181.90225,205.520896,0.0016927112398843747(0.0),0.0015936342399800196(0.0)
278,2 square 0,"(4316, 4316)",0,37255712,186.27856,209.7152,0.001065230509993853(0.0),0.00094662863004487(0.0)
279,2 square 1,"(4316, 4316)",0,37255712,186.27856,209.7152,0.0017389936799008866(0.0),0.0016204545200162101(0.0)
280,2 square 0,"(4367, 4367)",0,38141378,190.70689,216.006656,0.0010902310301025863(0.0),0.0009679175399651285(0.0)
281,2 square 1,"(4367, 4367)",0,38141378,190.70689,216.006656,0.001787575970083708(0.0),0.0016651008700137027(0.0)
282,2 square 0,"(4417, 4417)",0,39019778,195.09889,220.20096,0.0011127275400212965(0.0),0.0009881678999227007(0.0)
283,2 square 1,"(4417, 4417)",0,39019778,195.09889,220.20096,0.0018285226399893872(0.0),0.001698867670056643(0.0)
284,2 square 0,"(4467, 4467)",0,39908178,199.54089,226.492416,0.0011365603600279428(0.0),0.0010106690198881552(0.0)
285,2 square 1,"(4467, 4467)",0,39908178,199.54089,226.492416,0.001878153400029987(0.0),0.0017514849800500088(0.0)
286,2 square 0,"(4515, 4515)",0,40770450,203.85225,228.589568,0.001159853569988627(0.0),0.0010336864000419154(0.0)
287,2 square 1,"(4515, 4515)",0,40770450,203.85225,228.589568,0.0019239991200447548(0.0),0.0018336051299411337(0.0)
288,2 square 0,"(4564, 4564)",0,41660192,208.30096,232.783872,0.0011831467899901327(0.0),0.0010549328399065416(0.0)
289,2 square 1,"(4564, 4564)",0,41660192,208.30096,232.783872,0.0019658029000856913(0.0),0.0018326437099312899(0.0)
290,2 square 0,"(4612, 4612)",0,42541088,212.70544,241.17248,0.0012081004300853238(0.0),0.0010785921399656217(0.0)
291,2 square 1,"(4612, 4612)",0,42541088,212.70544,241.17248,0.0020134825799323153(0.0),0.0018852967998827807(0.0)
292,2 square 0,"(4659, 4659)",0,43412562,217.06281,243.269632,0.0012314898199110758(0.0),0.0011001261298952158(0.0)
293,2 square 1,"(4659, 4659)",0,43412562,217.06281,243.269632,0.0020586066400574057(0.0),0.0019426881200342904(0.0)
294,2 square 0,"(4706, 4706)",0,44292872,221.46436,249.561088,0.0012549319099343847(0.0),0.0011241000199515838(0.0)
295,2 square 1,"(4706, 4706)",0,44292872,221.46436,249.561088,0.002100665000034496(0.0),0.001983339430007618(0.0)
296,2 square 0,"(4752, 4752)",0,45163008,225.81504,253.755392,0.0012798042999929747(0.0),0.001145640720060328(0.0)
297,2 square 1,"(4752, 4752)",0,45163008,225.81504,253.755392,0.0021500320600171107(0.0),0.0020077768999908585(0.0)
298,2 square 0,"(4798, 4798)",0,46041608,230.20804,255.852544,0.001305690799927106(0.0),0.0011691304000851232(0.0)
299,2 square 1,"(4798, 4798)",0,46041608,230.20804,255.852544,0.0021996187399781777(0.0),0.0020429733899072744(0.0)
300,2 square 0,"(4844, 4844)",0,46928672,234.64336,264.241152,0.0013305383500119205(0.0),0.0011938683399057481(0.0)
301,2 square 1,"(4844, 4844)",0,46928672,234.64336,264.241152,0.002239630840049358(0.0),0.0020963647701137235(0.0)
302,2 square 0,"(4889, 4889)",0,47804642,239.02321,268.435456,0.0013558974600164219(0.0),0.0012165406701387838(0.0)
303,2 square 1,"(4889, 4889)",0,47804642,239.02321,268.435456,0.002289017950097332(0.0),0.0021243651599797886(0.0)
304,2 square 0,"(4934, 4934)",0,48688712,243.44356,272.62976,0.0013827789500646759(0.0),0.0012416819599457085(0.0)
305,2 square 1,"(4934, 4934)",0,48688712,243.44356,272.62976,0.002332350619981298(0.0),0.002169266900018556(0.0)
306,2 square 0,"(4978, 4978)",0,49560968,247.80484,276.824064,0.0014089862599212211(0.0),0.001266285049932776(0.0)
307,2 square 1,"(4978, 4978)",0,49560968,247.80484,276.824064,0.002377856300008716(0.0),0.002204004819941474(0.0)
308,2 square 0,"(5022, 5022)",0,50440968,252.20484,285.212672,0.0014387714400072582(0.0),0.0012936223999713548(0.0)
309,2 square 1,"(5022, 5022)",0,50440968,252.20484,285.212672,0.002420665070094401(0.0),0.0022448691200406758(0.0)
310,2 square 0,"(5066, 5066)",0,51328712,256.64356,287.309824,0.0014630172500619664(0.0),0.0013200695600244217(0.0)
311,2 square 1,"(5066, 5066)",0,51328712,256.64356,287.309824,0.002468817740009399(0.0),0.0022885262001364026(0.0)
312,2 square 0,"(5109, 5109)",0,52203762,261.01881,291.504128,0.0014874436901300215(0.0),0.0013420871600101237(0.0)
313,2 square 1,"(5109, 5109)",0,52203762,261.01881,291.504128,0.0025145333098771515(0.0),0.002321938829991268(0.0)
314,2 square 0,"(5152, 5152)",0,53086208,265.43104,297.795584,0.0015194592799525708(0.0),0.0013738749199546873(0.0)
315,2 square 1,"(5152, 5152)",0,53086208,265.43104,297.795584,0.0026606086900574154(0.0),0.0023716519499430433(0.0)
316,2 square 0,"(5194, 5194)",0,53955272,269.77636,299.892736,0.001549260579922702(0.0),0.0013987528100551571(0.0)
317,2 square 1,"(5194, 5194)",0,53955272,269.77636,299.892736,0.0026053449700702913(0.0),0.0024104629700013903(0.0)
318,2 square 0,"(5236, 5236)",0,54831392,274.15696,308.281344,0.001581187499978114(0.0),0.0014296572099556214(0.0)
319,2 square 1,"(5236, 5236)",0,54831392,274.15696,308.281344,0.00265617350989487(0.0),0.0024493255899869838(0.0)
320,2 square 0,"(5278, 5278)",0,55714568,278.57284,312.475648,0.0016148401799728164(0.0),0.0014582024299306794(0.0)
321,2 square 1,"(5278, 5278)",0,55714568,278.57284,312.475648,0.002703036940074526(0.0),0.0024878194200573488(0.0)
322,2 square 0,"(5320, 5320)",0,56604800,283.024,314.5728,0.0016478063499380368(0.0),0.0014964211400365457(0.0)
323,2 square 1,"(5320, 5320)",0,56604800,283.024,314.5728,0.0027489136200165376(0.0),0.0025292643200373276(0.0)
324,2 square 0,"(5361, 5361)",0,57480642,287.40321,320.864256,0.001684209029917838(0.0),0.0015343958900484722(0.0)
325,2 square 1,"(5361, 5361)",0,57480642,287.40321,320.864256,0.0027958210300130302(0.0),0.0025707317599153613(0.0)
326,2 square 0,"(5402, 5402)",0,58363208,291.81604,325.05856,0.001727494810038479(0.0),0.0015743711999675724(0.0)
327,2 square 1,"(5402, 5402)",0,58363208,291.81604,325.05856,0.0028445351700065657(0.0),0.002614307500043651(0.0)
328,2 square 0,"(5442, 5442)",0,59230728,296.15364,331.350016,0.0017816587300330867(0.0),0.0016084575999411755(0.0)
329,2 square 1,"(5442, 5442)",0,59230728,296.15364,331.350016,0.0028886188499745915(0.0),0.0026575725300062914(0.0)
330,2 square 0,"(5482, 5482)",0,60104648,300.52324,335.54432,0.0018258915000478736(0.0),0.0016555290299584157(0.0)
331,2 square 1,"(5482, 5482)",0,60104648,300.52324,335.54432,0.0029374237600131893(0.0),0.0027016836700204296(0.0)
332,2 square 0,"(5522, 5522)",0,60984968,304.92484,341.835776,0.001886580970021896(0.0),0.001723260709986789(0.0)
333,2 square 1,"(5522, 5522)",0,60984968,304.92484,341.835776,0.0029813482399913484(0.0),0.002744717669993406(0.0)
334,2 square 0,"(5562, 5562)",0,61871688,309.35844,346.03008,0.0019535003999772015(0.0),0.0017794867299380712(0.0)
335,2 square 1,"(5562, 5562)",0,61871688,309.35844,346.03008,0.003026616959978128(0.0),0.0027900762599892912(0.0)
336,2 square 0,"(5601, 5601)",0,62742402,313.71201,348.127232,0.0020245860000432003(0.0),0.0018438774799869862(0.0)
337,2 square 1,"(5601, 5601)",0,62742402,313.71201,348.127232,0.0030743811099091544(0.0),0.0028363453800557183(0.0)
338,2 square 0,"(5640, 5640)",0,63619200,318.096,356.51584,0.0020978143501270098(0.0),0.0019057048900867812(0.0)
339,2 square 1,"(5640, 5640)",0,63619200,318.096,356.51584,0.003120029540004907(0.0),0.0028821950900601223(0.0)
340,2 square 0,"(5679, 5679)",0,64502082,322.51041,360.710144,0.0021641872500185854(0.0),0.0019730455199896825(0.0)
341,2 square 1,"(5679, 5679)",0,64502082,322.51041,360.710144,0.003167253159917891(0.0),0.0029346372600411994(0.0)
342,2 square 0,"(5718, 5718)",0,65391048,326.95524,364.904448,0.0022409419500036163(0.0),0.002052750000002561(0.0)
343,2 square 1,"(5718, 5718)",0,65391048,326.95524,364.904448,0.003216192410036456(0.0),0.00298330210003769(0.0)
344,2 square 0,"(5756, 5756)",0,66263072,331.31536,369.098752,0.0023139782500220464(0.0),0.0021287030000530648(0.0)
345,2 square 1,"(5756, 5756)",0,66263072,331.31536,369.098752,0.0032596670399652793(0.0),0.003038729920081096(0.0)
346,2 square 0,"(5794, 5794)",0,67140872,335.70436,377.48736,0.0023884607599757145(0.0),0.0022131944200373256(0.0)
347,2 square 1,"(5794, 5794)",0,67140872,335.70436,377.48736,0.0033100559399463236(0.0),0.003087683810008457(0.0)
348,2 square 0,"(5832, 5832)",0,68024448,340.12224,379.584512,0.0024754121400474105(0.0),0.0022867448799661363(0.0)
349,2 square 1,"(5832, 5832)",0,68024448,340.12224,379.584512,0.0033573958699707872(0.0),0.0031183824001345785(0.0)
350,2 square 0,"(5869, 5869)",0,68890322,344.45161,383.778816,0.002552857240079902(0.0),0.0023599523800658063(0.0)
351,2 square 1,"(5869, 5869)",0,68890322,344.45161,383.778816,0.003403795329941204(0.0),0.0031631192199711223(0.0)
352,2 square 0,"(5907, 5907)",0,69785298,348.92649,390.070272,0.0026342833800299557(0.0),0.002436636169877602(0.0)
353,2 square 1,"(5907, 5907)",0,69785298,348.92649,390.070272,0.0034502319501189048(0.0),0.0032098387699807064(0.0)
354,2 square 0,"(5944, 5944)",0,70662272,353.31136,392.167424,0.002718330369971227(0.0),0.0025170913599140477(0.0)
355,2 square 1,"(5944, 5944)",0,70662272,353.31136,392.167424,0.003496662169927731(0.0),0.0032608259000699038(0.0)
356,2 square 0,"(5981, 5981)",0,71544722,357.72361,400.556032,0.002798669440089725(0.0),0.002594471850025002(0.0)
357,2 square 1,"(5981, 5981)",0,71544722,357.72361,400.556032,0.003546301549940836(0.0),0.003300389640062349(0.0)
358,2 square 0,"(6017, 6017)",0,72408578,362.04289,404.750336,0.0028784070900292136(0.0),0.0026708188898919615(0.0)
359,2 square 1,"(6017, 6017)",0,72408578,362.04289,404.750336,0.0035844021300727035(0.0),0.003350741769972956(0.0)
360,2 square 0,"(6054, 6054)",0,73301832,366.50916,406.847488,0.002959805360005703(0.0),0.00274748883995926(0.0)
361,2 square 1,"(6054, 6054)",0,73301832,366.50916,406.847488,0.003641054550098488(0.0),0.00341165384001215(0.0)
362,2 square 0,"(6090, 6090)",0,74176200,370.881,413.138944,0.0030380197400518227(0.0),0.0028214613899763207(0.0)
363,2 square 1,"(6090, 6090)",0,74176200,370.881,413.138944,0.003688327760028187(0.0),0.0034672293400217313(0.0)
364,2 square 0,"(6126, 6126)",0,75055752,375.27876,417.333248,0.00311124527011998(0.0),0.00289636409986997(0.0)
365,2 square 1,"(6126, 6126)",0,75055752,375.27876,417.333248,0.003735113849979825(0.0),0.003503419600019697(0.0)
366,2 square 0,"(6161, 6161)",0,75915842,379.57921,423.624704,0.003190035129955504(0.0),0.002982962100068107(0.0)
367,2 square 1,"(6161, 6161)",0,75915842,379.57921,423.624704,0.003778631760069402(0.0),0.003551743589923717(0.0)
368,2 square 0,"(6197, 6197)",0,76805618,384.02809,427.819008,0.003273583160043927(0.0),0.003055105300009018(0.0)
369,2 square 1,"(6197, 6197)",0,76805618,384.02809,427.819008,0.0038272172400320415(0.0),0.0036148420999234077(0.0)
370,2 square 0,"(6232, 6232)",0,77675648,388.37824,434.110464,0.0033493410999653863(0.0),0.0031380792398704215(0.0)
371,2 square 1,"(6232, 6232)",0,77675648,388.37824,434.110464,0.0038775677599187475(0.0),0.0036414256200077945(0.0)
372,2 square 0,"(6268, 6268)",0,78575648,392.87824,436.207616,0.00343343995991745(0.0),0.0032175584998913108(0.0)
373,2 square 1,"(6268, 6268)",0,78575648,392.87824,436.207616,0.003924510150100104(0.0),0.0036834299699694383(0.0)
374,2 square 0,"(6302, 6302)",0,79430408,397.15204,440.40192,0.0035158278199378403(0.0),0.0032894324901280923(0.0)
375,2 square 1,"(6302, 6302)",0,79430408,397.15204,440.40192,0.003971630059968447(0.0),0.0037490326999977696(0.0)
376,2 square 0,"(6337, 6337)",0,80315138,401.57569,448.790528,0.0036003266500483732(0.0),0.0033770624399767257(0.0)
377,2 square 1,"(6337, 6337)",0,80315138,401.57569,448.790528,0.004016151760006323(0.0),0.0038229397300165147(0.0)
378,2 square 0,"(6372, 6372)",0,81204768,406.02384,450.88768,0.003683294600050431(0.0),0.0034594962699338793(0.0)
379,2 square 1,"(6372, 6372)",0,81204768,406.02384,450.88768,0.004069701529951999(0.0),0.0038567506898834836(0.0)
380,2 square 0,"(6406, 6406)",0,82073672,410.36836,457.179136,0.003766900039918255(0.0),0.003541110759979347(0.0)
381,2 square 1,"(6406, 6406)",0,82073672,410.36836,457.179136,0.004110026390117127(0.0),0.003926098900119541(0.0)
382,2 square 0,"(6440, 6440)",0,82947200,414.736,461.37344,0.0038469323400931897(0.0),0.0036196116599603555(0.0)
383,2 square 1,"(6440, 6440)",0,82947200,414.736,461.37344,0.004161879160092212(0.0),0.00403986763994908(0.0)
384,2 square 0,"(6474, 6474)",0,83825352,419.12676,463.470592,0.003926949400047306(0.0),0.0036959375599690245(0.0)
385,2 square 1,"(6474, 6474)",0,83825352,419.12676,463.470592,0.004208985039877006(0.0),0.004026689829915994(0.0)
386,2 square 0,"(6508, 6508)",0,84708128,423.54064,471.8592,0.004007647840044228(0.0),0.0037566146800236313(0.0)
387,2 square 1,"(6508, 6508)",0,84708128,423.54064,471.8592,0.004258398179954384(0.0),0.004040540699934354(0.0)
388,2 square 0,"(6542, 6542)",0,85595528,427.97764,476.053504,0.004091537030035397(0.0),0.0038403931498760357(0.0)
389,2 square 1,"(6542, 6542)",0,85595528,427.97764,476.053504,0.004320941230107564(0.0),0.004086593179963529(0.0)
390,2 square 0,"(6575, 6575)",0,86461250,432.30625,480.247808,0.004165876570041292(0.0),0.003921675710007549(0.0)
391,2 square 1,"(6575, 6575)",0,86461250,432.30625,480.247808,0.00435752703997423(0.0),0.004122760409954935(0.0)
392,2 square 0,"(6609, 6609)",0,87357762,436.78881,484.442112,0.004248675400012871(0.0),0.004005324440076947(0.0)
393,2 square 1,"(6609, 6609)",0,87357762,436.78881,484.442112,0.004399781969987089(0.0),0.004202050400053849(0.0)
394,2 square 0,"(6642, 6642)",0,88232328,441.16164,492.83072,0.004328732729918556(0.0),0.0040910364600131284(0.0)
395,2 square 1,"(6642, 6642)",0,88232328,441.16164,492.83072,0.004448297519993503(0.0),0.00428345498003182(0.0)
396,2 square 0,"(6675, 6675)",0,89111250,445.55625,494.927872,0.004413612789940089(0.0),0.004166465650050668(0.0)
397,2 square 1,"(6675, 6675)",0,89111250,445.55625,494.927872,0.004496929290035041(0.0),0.004403321939898888(0.0)
398,2 square 0,"(6708, 6708)",0,89994528,449.97264,499.122176,0.004499559050018433(0.0),0.0042486044300312645(0.0)
